lemma,frequency,derivatives
langosta,8,langosta
lamentablemente,8,lamentablemente
labor,8,labor
Irlanda,8,irlanda
invertir,8,invertir
intimidad,8,intimidad
interruptor,8,interruptor
intelectual,8,intelectual
integridad,8,integridad
insulto insultar,8,insulto
insoportable,8,insoportable
insignia,8,insignia
inocencia,8,inocencia
inicio iniciar,8,inicio
ingenioso,8,ingenioso
ingeniería,8,ingeniería
inaceptable,8,inaceptable
hospitalidad,8,hospitalidad
honrado honrar,8,honrado
hockey,8,hockey
hipoteca,8,hipoteca
herencia,8,herencia
hanzo,8,hanzo
hacienda,8,hacienda
hábil,8,hábil
grandeza,8,grandeza
golfo,8,golfo
gol,8,gol
gobernar,8,gobernar
garantía,8,garantía
gancho,8,gancho
frito freír,8,frito
freno frenar,8,freno
franco,8,francos
frágil,8,frágil
flotar,8,flotando
flanco,8,flanco
físicamente,8,físicamente
filete,8,filete
fenomenal,8,fenomenal
exitoso,8,exitosa
exhibición,8,exhibición
examinar,8,examinar
evolución,8,evolución
evacuar,8,evacuar
evacuación,8,evacuación
Euro,8,euros
etapa,8,etapa
establecer,8,establecer
Esparta espartar,8,esparta
escrito escribir,8,escrita
enrique Enrique,8,enrique
enojo enojar,8,enojo
empacar,8,empacar
emboscada,8,emboscada
email,8,email
em,8,em
elle,8,elle
elevador,8,elevador
eléctrico,8,eléctrico
educado educar,8,educado
dueña dueño,8,dueña
duelo doler,8,duelo
doncella,8,doncella
diseñado diseñar,8,diseñado
discreción,8,discreción
directora,8,directora
dinamita,8,dinamita
determinar,8,determinar
determinado determinar,8,determinado
detención,8,detención
desgraciadamente,8,desgraciadamente
desarrollar,8,desarrollar
desaparición,8,desaparición
desactivar,8,desactivar
derrotado derrotar,8,derrotado
debate debatir,8,debate
danza danzar,8,danza
culto,8,culto
cuervo,8,cuervos
cuarentena,8,cuarentena
cuántico,8,cuántica
crítico,8,crítico
crack,8,crack
corrupción,8,corrupción
contraseña,8,contraseña
contrabando contrabandar,8,contrabando
contenido contener,8,contenido
congresista,8,congresista
confuso,8,confuso
concernir,8,concierne
comunicar,8,comunicarse
cómplice,8,cómplice
complicado,8,complicada
complacer,8,complace
cojón,8,cojones
cojo coger,8,coja
cojo,8,cojo
cofre,8,cofre
chiflado,8,chiflado
chicle,8,chicle
chef,8,chef
chatarra,8,chatarra
chao,8,chao
cerradura,8,cerradura
CD,8,cd
catorce,8,catorce
caravana,8,caravana
capilla,8,capilla
cancha,8,cancha
canalla,8,canalla
camarera,8,camarera
calentamiento,8,calentamiento
calendario,8,calendario
calcetín,8,calcetines
cachorro,8,cachorro
caca,8,caca
bruto,8,bruto
brillo,8,brillo
basurero,8,basurero
barro barrer,8,barro
barrera,8,barrera
bañera,8,bañera
baloncesto,8,baloncesto
atracción,8,atracción
atlántico,8,atlántico
aterrador,8,aterrador
asesor,8,asesor
asegurado asegurar,8,asegurado
artefacto,8,artefacto
apuro apurar,8,apuro
aprovechar,8,aprovechar
aprobación,8,aprobación
aprendiz,8,aprendiz
apocalipsis,8,apocalipsis
apagado apagar,8,apagado
anual,8,anual
anormal,8,anormal
animar,8,anímate
altamente,8,altamente
alquilar,8,alquilar
alambre,8,alambre
agresivo,8,agresivo
agresión,8,agresión
agradecimiento,8,agradecimiento
afectado afectar,8,afectado
adrenalina,8,adrenalina
acondicionado,8,acondicionado
abuso abusar,8,abuso
abierto,8,abiertas
zapatilla,7,zapatillas
vulnerable,7,vulnerable
vulgar,7,vulgar
vudú,7,vudú
virtud,7,virtud
Viena,7,viena
vídeo,7,vídeo
víbora,7,víbora
viajado viajar,7,viajado
verónica Verónica,7,verónica
velo velar,7,velo
vapor,7,vapor
vagina,7,vagina
triple,7,triple
tripa,7,tripas
trineo,7,trineo
tradicional,7,tradicional
timbre,7,timbre
terrestre,7,terrestre
telegrama,7,telegrama
tela,7,tela
tejado,7,tejado
tango,7,tango
tablero,7,tablero
sospechar,7,sospecho
soporte soportar,7,soporte
soplar,7,sopla
sobrevivido sobrevivir,7,sobrevivido
sobredosis,7,sobredosis
sirvienta,7,sirvienta
sirena,7,sirena
silencioso,7,silencioso
sencillamente,7,sencillamente
semestre,7,semestre
selección,7,selección
saudita,7,sauditas
sandwich sándwich,7,sandwich
sacrificar,7,sacrificar
román Roman,7,roman
río reír Rio,7,rio
ringar,7,ringo
revólver,7,revólver
revisado revisar,7,revisado
retorno retornar,7,retorno
respetable,7,respetable
resfriado,7,resfriado
reportera,7,reportera
reportar,7,reportar
renuncia renunciar,7,renuncia
reliquia,7,reliquia
rehabilitación,7,rehabilitación
regan,7,regan
refresco refrescar,7,refresco
reflejo,7,reflejos
referencia,7,referencia
recorrer,7,recorrer
rechazado rechazar,7,rechazado
realista,7,realista
rasguño,7,rasguño
rana,7,rana
quebrado quebrar,7,quebrado
provecho,7,provecho
propina,7,propina
primario,7,primaria
previsto,7,previsto
precisión,7,precisión
postura,7,postura
pornografía,7,pornografía
pésimo,7,pésimo
periodo,7,periodo
perfección,7,perfección
perdido,7,perdidas
pena,7,penas
peludo,7,peludo
peluca,7,peluca
peleado pelear,7,peleado
peinado peinar,7,peinado
pedo,7,pedo
Patricia patricio,7,patricia
pasto pastar,7,pasto
parar paro,7,paras
paranoico,7,paranoico
paranoia,7,paranoia
panza,7,panza
panqueque,7,panqueques
pamela Pamela,7,pamela
palomita paloma,7,palomitas
palanca,7,palanca
pajarito,7,pajarito
paisaje,7,paisaje
ordinario,7,ordinario
orar,7,oren
opus,7,opus
operadora,7,operadora
ocupación,7,ocupación
nuez,7,nueces
nuca,7,nuca
niñez,7,niñez
nevada,7,nevada
neutral,7,neutral
naval,7,naval
na,7,na
músico,7,músico
mostaza,7,mostaza
monasterio,7,monasterio
molino,7,molino
mocoso,7,mocoso
mismísimo,7,mismísimo
mini,7,mini
millonario,7,millonario
migajas migaja,7,migajas
mg miligramo,7,mg
mercenario,7,mercenarios
mencionado mencionar,7,mencionado
mejorado mejorar,7,mejorado
mecánica,7,mecánica
matanza,7,matanza
martini,7,martini
martín Martín,7,martín
marrón,7,marrón
marcial,7,marciales
marcado marcar,7,marcado
mantenido mantener,7,mantenido
maduro,7,madura
madrugada,7,madrugada
luchado luchar,7,luchado
limón,7,limón
liberado liberar,7,liberado
leve,7,leve
levante,7,levantes
leña,7,leña
lavandería,7,lavandería
lancha,7,lancha
laberinto,7,laberinto
kelvin,7,kelvin
juntar,7,juntar
jr,7,jr
jodidamente,7,jodidamente
jeep,7,jeep
inventado inventar,7,inventado
invencible,7,invencible
interrogatorio,7,interrogatorio
internado,7,internado
interferencia,7,interferencia
intenso,7,intenso
institución,7,institución
inspección,7,inspección
inscripción,7,inscripción
inmortal,7,inmortal
inmenso,7,inmenso
infectado infectar,7,infectado
inesperado,7,inesperado
implicar,7,implica
ignorar,7,ignorar
horizonte,7,horizonte
hombrecito hombre,7,hombrecito
holanda,7,holanda
hermanita hermana,7,hermanita
helión,7,helion
helado,7,helados
helada,7,helada
halcón,7,halcón
gym,7,gym
guarida,7,guarida
guardar guarda,7,guardas
guardado guardar,7,guardado
grúa,7,grúa
gratitud,7,gratitud
grandote grande,7,grandote
gramo,7,gramos
gorra,7,gorra
gorila,7,gorila
gimnasia,7,gimnasia
génesis,7,génesis
gastado gastar,7,gastado
galáctico,7,galáctica
futbol,7,futbol
fundación,7,fundación
freno,7,frenos
fórmula,7,fórmula
financiero,7,financiero
film,7,film
fijo fijar,7,fijo
fijado fijar,7,fijado
ficha fichar,7,fichas
ficción,7,ficción
feroz,7,feroz
farmacia,7,farmacia
factor,7,factor
explorar,7,explorar
experimentar,7,experimentar
existido existir,7,existido
excepcional,7,excepcional
evaluación,7,evaluación
etiqueta etiquetar,7,etiqueta
estrellar,7,estrelló
estimado estimar,7,estimado
estanque,7,estanque
estaca estacar,7,estaca
esposo,7,esposos
esgrima,7,esgrima
esfera,7,esfera
escolta escoltar,7,escolta
escogido escoger,7,escogido
escocés,7,escocés
esclava,7,esclava
envuelto envolver,7,envuelto
entusiasmo,7,entusiasmo
entretenimiento,7,entretenimiento
entierro enterrar,7,entierro
entero enterar,7,enteras
enemiga,7,enemigas
encubierto encubrir,7,encubierto
encendido,7,encendida
eliminado eliminar,7,eliminado
edición,7,edición
doscientos,7,doscientos
dominio,7,dominio
dicha dicho decir,7,dicha
despreciable,7,despreciable
despido despedir,7,despido
desperdiciar,7,desperdiciar
desesperado,7,desesperados
desesperación,7,desesperación
descuento descontar,7,descuento
desconocido,7,desconocida
descifrar,7,descifrar
descenso,7,descenso
desarrollado desarrollar,7,desarrollado
desaparecida,7,desaparecida
desafortunado,7,desafortunado
demostrado demostrar,7,demostrado
demente,7,demente
delantero,7,delantera
definir,7,define
definición,7,definición
declarado declarar,7,declarado
dañar,7,dañar
daga,7,daga
curva curvar,7,curva
curado curar,7,curado
cuñado,7,cuñado
cuna,7,cuna
cuidadosamente,7,cuidadosamente
cubo,7,cubo
cualidad,7,cualidades
criada criar,7,criada
cría criar,7,cría
crecimiento,7,crecimiento
creador,7,creador
cosquillas,7,cosquillas
cosita cosa,7,cosita
corto,7,cortos
corteza,7,corteza
coro,7,coro
cordero,7,cordero
cooperar,7,cooperar
cooperación,7,cooperación
convincente,7,convincente
continuación,7,continuación
consulado,7,consulado
consentimiento,7,consentimiento
confirmación,7,confirmación
confiable,7,confiable
comprometido,7,comprometido
comprometida,7,comprometida
completar,7,completar
comics,7,comics
comedia,7,comedia
comarca,7,comarca
coartada,7,coartada
coalición,7,coalición
charlar,7,charlar
certificado certificar,7,certificado
cepillo cepillar,7,cepillo
cenicienta,7,cenicienta
celebración,7,celebración
caviar,7,caviar
cavar,7,cavar
categoría,7,categoría
castigado castigar,7,castigado
cartucho,7,cartuchos
carnicero,7,carnicero
carnada,7,carnada
carmen Carmen,7,carmen
cargador,7,cargador
cargado,7,cargada
capturar,7,capturar
cangrejo,7,cangrejo
calvo,7,calvo
caloría,7,calorías
brutal,7,brutal
brillar,7,brilla
botín,7,botín
bono,7,bonos
bodega,7,bodega
bloqueado bloquear,7,bloqueado
básico,7,básico
ballet,7,ballet
bailarín,7,bailarín
babor,7,babor
avisado avisar,7,avisado
atrasado atrasar,7,atrasado
atascar,7,atascado
atardecer,7,atardecer
asustado,7,asustados
astronauta,7,astronauta
asistir,7,asistir
arteria,7,arteria
arquero,7,arqueros
ardilla,7,ardilla
arca,7,arca
arar,7,ares
aprisa,7,aprisa
apretado,7,apretado
apreciar,7,apreciar
aparecido aparecer,7,aparecido
anunciar,7,anunciar
ansiedad,7,ansiedad
anfitrión,7,anfitrión
amigable,7,amigable
ambición,7,ambición
alucinación,7,alucinaciones
ali Ali,7,ali
alboroto,7,alboroto
ajá,7,ajá
aislado,7,aislado
ahorro,7,ahorros
ahorrar,7,ahorrar
agarre agarrar,7,agarre
áfrico África,7,africa
admirador,7,admirador
activar,7,activar
acoso acosar,7,acoso
aconsejar,7,aconsejo
acera,7,acera
aceptable,7,aceptable
acelerar,7,acelera
aah,7,aah
zanahoria,6,zanahoria
yanqui,6,yanquis
yankee,6,yankees
yacer,6,yace
winchester,6,winchester
vosotras,6,vosotras
volado volar,6,volado
vitamina,6,vitaminas
virginidad,6,virginidad
vip,6,vip
villano,6,villano
vigilante,6,vigilante
veterinario,6,veterinario
verga,6,verga
verdura,6,verduras
ventilación,6,ventilación
Venecia,6,venecia
velada velar,6,velada
vecina,6,vecina
valla,6,valla
vainilla,6,vainilla
utilizado utilizar,6,utilizado
utah,6,utah
usado usar,6,usada
universitario,6,universitario
unido,6,unidas
únicamente,6,únicamente
trueno,6,trueno
trofeo,6,trofeo
triángulo,6,triángulo
tregua,6,tregua
traslado trasladar,6,traslado
tranvía,6,tranvía
tránsito,6,tránsito
transbordador,6,transbordador
tramar,6,tramando
trágico,6,trágico
tornado,6,tornado
tope,6,tope
tomografía,6,tomografía
tomado tomar,6,tomada
tocino,6,tocino
titar Tito,6,tito
tijeras,6,tijeras
tequila,6,tequila
taxista,6,taxista
talentoso,6,talentoso
surgir,6,surgió
supermercado,6,supermercado
superficial,6,superficial
superado superar,6,superado
suministro,6,suministros
sujeto sujetar,6,sujeta
suéter,6,suéter
suero,6,suero
sudor,6,sudor
succión,6,succión
subterráneo,6,subterráneo
suavemente,6,suavemente
sorprendido,6,sorprendida
soda,6,soda
simulación,6,simulación
simio,6,simio
setenta,6,setenta
servidor,6,servidor
sermón,6,sermón
séptimo,6,séptimo
sensibilidad,6,sensibilidad
sato,6,sato
sarcófago,6,sarcófago
salvavidas,6,salvavidas
ruptura,6,ruptura
romeo Romeo,6,romeo
rodaje,6,rodaje
robo,6,robos
rezo rezar,6,rezo
reventar,6,reventar
resurrección,6,resurrección
reportaje,6,reportaje
rencor,6,rencor
remolque,6,remolque
regular,6,regular
registrar,6,registrar
régimen,6,régimen
reemplazo reemplazar,6,reemplazo
redondo,6,redonda
recta,6,recta
reconstruir,6,reconstruir
reclamar,6,reclamar
rechazo rechazar,6,rechazo
rechazar,6,rechazar
realizado realizar,6,realizado
realeza,6,realeza
rastreo rastrear,6,rastreo
ramón Ramón,6,ramón
rabino,6,rabino
quienquiera,6,quienquiera
quiebra quebrar,6,quiebra
quejar,6,quejarte
puntería,6,puntería
puñado,6,puñado
pulgar,6,pulgar
puerco,6,puerco
publicar público,6,publico
psiquiátrico,6,psiquiátrico
psicología,6,psicología
protesto,6,protesto
protegido,6,protegida
propietario,6,propietario
pronóstico,6,pronóstico
promoción,6,promoción
programación,6,programación
profeta,6,profeta
principalmente,6,principalmente
presidenta,6,presidenta
presidencial,6,presidencial
preparación,6,preparación
preferido,6,preferida
predicador,6,predicador
práctico,6,práctico
potente,6,potente
portero,6,portero
portador,6,portador
porche,6,porche
porcentaje,6,porcentaje
popa,6,popa
pólvora,6,pólvora
póliza,6,póliza
pis,6,pis
pipa,6,pipa
pintor,6,pintor
pillado,6,pillado
percepción,6,percepción
pequeñín pequeño,6,pequeñín
peligro,6,peligros
pediatría,6,pediatría
pausa,6,pausa
pasado pasar,6,pasados
parlamento,6,parlamento
paramédico,6,paramédicos
pálido,6,pálido
pala,6,pala
pago,6,pagos
pagano,6,paganos
pacer,6,paces
orfanato,6,orfanato
optimista,6,optimista
oponente,6,oponente
operativo,6,operativo
operador,6,operador
ONU,6,onu
ofrecido ofrecer,6,ofrecido
ofensiva,6,ofensiva
ofendido,6,ofendido
obsequio,6,obsequio
obrero,6,obreros
normalidad,6,normalidad
nono,6,nono
nombrar,6,nombrar
nobel,6,nobel
ninja,6,ninja
nieta,6,nieta
negociación,6,negociaciones
navegación,6,navegación
náusea,6,náuseas
narcótico,6,narcóticos
mutación,6,mutación
movido mover,6,movido
movida movido mover,6,movida
motocicleta,6,motocicleta
mostrador,6,mostrador
mostrado mostrar,6,mostrado
montana,6,montana
miligramo,6,miligramos
mérito,6,mérito
merecido,6,merecido
maya,6,maya
matriz,6,matriz
matrix,6,matrix
matemática matemático,6,matemática
Marruecos,6,marruecos
marqués,6,marqués
marino,6,marino
marea,6,marea
marchado,6,marchado
maniobra,6,maniobra
mandíbula,6,mandíbula
manada,6,manada
madam,6,madam
luto,6,luto
lino,6,lino
letal,6,letal
legítimo,6,legítimo
legalmente,6,legalmente
latir,6,late
lanzado lanzar,6,lanzado
jurisdicción,6,jurisdicción
judicial,6,judicial
jardinero,6,jardinero
israel,6,israel
irónico,6,irónico
invertido invertir,6,invertido
interferir,6,interferir
inodoro,6,inodoro
inmortalidad,6,inmortalidad
ingreso ingresar,6,ingreso
ingreso,6,ingresos
ingresar,6,ingresar
informante,6,informante
infinito,6,infinito
infectado,6,infectada
indicio,6,indicios
inconveniente,6,inconveniente
incluido incluir,6,incluido
impostor,6,impostor
imitación,6,imitación
ignorante,6,ignorante
ignorancia,6,ignorancia
ídolo,6,ídolo
humillación,6,humillación
huérfano,6,huérfanos
hostil,6,hostil
honestidad,6,honestidad
hoguera,6,hoguera
histórico,6,histórico
hijita,6,hijita
habitante,6,habitantes
guardería,6,guardería
glorioso,6,glorioso
gelatina,6,gelatina
gasto gastar,6,gasto
fundamental,6,fundamental
frasco,6,frasco
forzado forzar,6,forzado
flexible,6,flexible
flaco,6,flaco
financiera financiero,6,financiera
ficha,6,ficha
fibra,6,fibra
ferrocarril,6,ferrocarril
faro,6,faro
fallecer,6,falleció
extender,6,extiende
exquisito,6,exquisito
expulsado expulsar,6,expulsado
experta,6,experta
exhausto,6,exhausto
exclusiva,6,exclusiva
exceso,6,exceso
exagerar,6,exagerando
evidentemente,6,evidentemente
ética ético,6,ética
etc,6,etc
estudiado estudiar,6,estudiado
estrictamente,6,estrictamente
estreno estrenar,6,estreno
estancia,6,estancia
Estambul,6,estambul
establo,6,establo
esponja,6,esponja
espina,6,espina
específico,6,específico
escoria,6,escoria
escoba,6,escoba
escáner,6,escáner
epidemia,6,epidemia
entorno,6,entorno
enigma,6,enigma
enfoque enfocar,6,enfoque
encontrado encontrar,6,encontrada
encendedor,6,encendedor
enamorar,6,enamoré
empuje empujar,6,empuje
empleo,6,empleos
empeorar,6,empeorar
duque,6,duque
dramático,6,dramático
dondequiera,6,dondequiera
dominar,6,dominar
dolar,6,duelen
disturbio,6,disturbios
distracción,6,distracción
diseñador,6,diseñador
dibujar,6,dibujar
diabetes,6,diabetes
destinado destinar,6,destinado
desesperadamente,6,desesperadamente
describir,6,describir
desaparecido,6,desaparecidos
derribar,6,derribar
deprimente,6,deprimente
dental,6,dental
demandar,6,demandar
decepción,6,decepción
década,6,décadas
cuidadoso,6,cuidadoso
cubierto,6,cubiertas
cuadrante,6,cuadrante
cuaderno,6,cuaderno
crío criar,6,crío
cortado,6,cortada
corregir,6,corregir
copiado copiar,6,copiado
convento,6,convento
continente,6,continente
conteo,6,conteo
consideración,6,consideración
conquista conquistar,6,conquista
confirmado,6,confirmada
confiado confiar,6,confiado
conducto,6,conducto
concreto concretar,6,concreto
concedido,6,concedido
comunicado comunicar,6,comunicado
comprensión,6,comprensión
comprador,6,comprador
comparar,6,comparar
comisionado,6,comisionado
cómic,6,cómics
colchón,6,colchón
colapso colapsar,6,colapso
codo,6,codo
cocinera,6,cocinera
clementina,6,clementina
clemencia,6,clemencia
clavo clavar,6,clavo
claridad,6,claridad
ciclo,6,ciclo
chupar,6,chupa
chocar choco,6,choca
chispa chispar,6,chispas
champagne,6,champagne
chaleco,6,chaleco
cesar,6,cesar
cera,6,cera
centro,6,centros
casamiento,6,casamiento
carolino Carolina,6,carolina
captura capturar,6,captura
cápsula,6,cápsula
cansar,6,cansé
cansado,6,cansados
canasta,6,canasta
campesino,6,campesinos
calabozo,6,calabozo
cal,6,cal
buzón,6,buzón
bus,6,bus
burla burlar,6,burla
Bretaña,6,bretaña
brear,6,bree
brazalete,6,brazalete
brasil,6,brasil
bombardero,6,bombarderos
bombardeo bombardear,6,bombardeo
bolsón,6,bolsón
bolo,6,bolos
bolígrafo,6,bolígrafo
blues,6,blues
bloqueo bloquear,6,bloqueo
bloquear bloquear,6,bloqueando
bloque,6,bloque
bledo,6,bledo
bienestar,6,bienestar
bastón,6,bastón
barriga,6,barriga
banquero,6,banquero
bang,6,bang
bando,6,bando
balcón,6,balcón
balazo,6,balazo
balance,6,balance
babilonio,6,babilonia
avergonzado,6,avergonzada
autorizado,6,autorizada
autodestrucción,6,autodestrucción
ausente,6,ausente
atún,6,atún
atrevido,6,atrevido
atraco,6,atraco
ático,6,ático
atentamente,6,atentamente
asignado asignar,6,asignado
asado asar,6,asado
armonía,6,armonía
armar,6,armar
armamento,6,armamento
argentino,6,argentina
aproximar,6,aproxima
apodo,6,apodo
apertura,6,apertura
antepasado,6,antepasados
anteojos,6,anteojos
anochecer,6,anochecer
analizar,6,analizar
amo,6,amos
amnesia,6,amnesia
amabilidad,6,amabilidad
alumna,6,alumna
altitud,6,altitud
alterado,6,alterado
altar,6,altar
alias,6,alias
aliado,6,aliado
alérgico,6,alérgico
aleluya,6,aleluya
álbum,6,álbum
Albania,6,albania
ajo,6,ajo
aislamiento,6,aislamiento
ahogar,6,ahogó
ahogado,6,ahogado
aguante aguantar,6,aguante
agradecido,6,agradecidos
aduana,6,aduana
adjunto,6,adjunto
adicción,6,adicción
acordado,6,acordado
acontecimiento,6,acontecimientos
abortar,6,aborten
abordar,6,abordar
abdominal,6,abdominal
abandono abandonar,6,abandono
zurdo,5,zurdo
yoyo,5,yoyo
yegua,5,yegua
web,5,web
vómito,5,vómito
volcán,5,volcán
vista visto ver,5,vistas
víspera,5,víspera
visible,5,visible
violín,5,violín
violeta,5,violeta
vigilado,5,vigilado
veterano,5,veteranos
variar,5,variar
vara,5,vara
válvula,5,válvula
vals,5,vals
valium,5,valium
turco,5,turcos
turbulencia,5,turbulencia
troyano,5,troyanos
trompeta,5,trompeta
trayectoria,5,trayectoria
transplante transplantar,5,transplante
transmitir,5,transmitir
Transilvania,5,transilvania
tragar,5,tragar
trabajadora,5,trabajadora
tóxico,5,tóxico
torno tornar,5,torno
tolerar,5,tolerar
tirano,5,tirano
tinieblas,5,tinieblas
testificar,5,testificar
testículo,5,testículos
terapeuta,5,terapeuta
templario,5,templarios
temible,5,temible
taquicardia,5,taquicardia
Tailandia,5,tailandia
tacto,5,tacto
tac,5,tac
taberna,5,taberna
sutil,5,sutil
sustituto,5,sustituto
sushi,5,sushi
supervisión,5,supervisión
suministro suministrar,5,suministro
sumar,5,sumo
suelto,5,sueltos
suegra,5,suegra
sudar,5,sudando
suciedad,5,suciedad
suburbio,5,suburbios
sólido,5,sólido
soborno,5,soborno
sillón,5,sillón
sexualmente,5,sexualmente
sesenta,5,sesenta
señuelo,5,señuelo
sensual,5,sensual
sede,5,sede
secuestrado,5,secuestrada
satisfecho,5,satisfecha
satisfacer,5,satisfacer
satanás,5,satanás
sanguíneo,5,sanguínea
sangriento,5,sangriento
sádico,5,sádico
robótica,5,robótica
roble,5,roble
revelado revelar,5,revelado
revancha,5,revancha
retrete,5,retrete
retardado,5,retardado
retaguardia,5,retaguardia
resumen resumir,5,resumen
respetado respetar,5,respetado
resaca,5,resaca
reparto repartir,5,reparto
reparación,5,reparaciones
relato relatar,5,relato
reja,5,rejas
reino,5,reinos
regalar,5,regaló
refugiado refugiar,5,refugiados
reemplazar,5,reemplazar
recordado,5,recordado
recompensa,5,recompensas
recomendación,5,recomendación
receptor,5,receptor
reaccionar,5,reaccionar
rastreador,5,rastreador
rapidez,5,rapidez
ramo,5,ramos
racional,5,racional
quemado,5,quemada
queens,5,queens
púrpura,5,púrpura
pulgada,5,pulgadas
pulga,5,pulgas
pujar,5,puja
psiquiatría,5,psiquiatría
psicológico,5,psicológico
provincia,5,provincia
prototipo,5,prototipo
proposición,5,proposición
procurar,5,procura
previamente,5,previamente
prevenir,5,prevenir
presidencia,5,presidencia
preparativo,5,preparativos
prender,5,prender
predecir,5,predecir
practicar práctica,5,practica
poste,5,poste
posada posado posar,5,posada
portátil,5,portátil
portado portar,5,portado
póquer,5,póquer
pop,5,pop
pimienta,5,pimienta
pijama,5,pijama
picar,5,pica
peso,5,pesos
pescador,5,pescador
pesado,5,pesados
pesa,5,pesas
perdonado,5,perdonado
perdición,5,perdición
pellejo,5,pellejo
pecador,5,pecadores
pascua,5,pascua
partícula,5,partículas
paradero,5,paradero
padrastro,5,padrastro
pabellón,5,pabellón
oxford,5,oxford
orquesta,5,orquesta
orientación,5,orientación
organismo,5,organismo
oportuno,5,oportuno
opio,5,opio
olla,5,olla
ofenda ofender,5,ofendas
oculto,5,ocultos
octavo,5,octavo
occidente,5,occidente
obtenido obtener,5,obtenido
obstrucción,5,obstrucción
obstante,5,obstante
noventa,5,noventa
Norteamérica,5,norteamérica
noroeste,5,noroeste
Nochebuena,5,nochebuena
niñito niño,5,niñito
nevera,5,nevera
negado negar,5,negado
necesitado necesitar,5,necesitado
natal,5,natal
nalga,5,nalgas
mu,5,mu
mozo,5,mozo
monumento,5,monumento
montado montar,5,montado
moisés Moisés,5,moisés
milicia,5,milicia
milenio,5,milenio
meteorito,5,meteorito
mesías,5,mesías
mentar,5,mienten
menta,5,menta
mejilla,5,mejilla
mediante,5,mediante
medallón,5,medallón
mc,5,mc
mayordomo,5,mayordomo
mason,5,mason
masculino,5,masculino
mariquita,5,mariquita
maquinaria,5,maquinaria
maniobra maniobrar,5,maniobras
manguera,5,manguera
manga,5,manga
manager,5,manager
maligno,5,maligno
lucio,5,lucio
luca,5,luca
lote,5,lote
lodo,5,lodo
llanta,5,llantas
limusina,5,limusina
limosina,5,limosina
limonada,5,limonada
limitado,5,limitado
liderazgo,5,liderazgo
libreta,5,libreta
librería,5,librería
libremente,5,libremente
lema,5,lema
lasaña,5,lasaña
lamentable,5,lamentable
khan,5,khan
juvenil,5,juvenil
justificar,5,justificar
júpiter Júpiter,5,júpiter
jet,5,jet
Jerusalén,5,jerusalén
jaque,5,jaque
jalar,5,jala
jabalí,5,jabalí
Islandia,5,islandia
irresponsable,5,irresponsable
ira ir,5,iras
involucrado,5,involucrados
inversor,5,inversores
intervención,5,intervención
interpretación,5,interpretación
intensidad,5,intensidad
intacto,5,intacta
insultar,5,insultar
insensible,5,insensible
inmunidad,5,inmunidad
inmigración,5,inmigración
iniciativa,5,iniciativa
ingle,5,ingles
infiel,5,infiel
industrial,5,industrial
índice,5,índice
incompetente,5,incompetente
inclusive,5,inclusive
inauguración,5,inauguración
improbable,5,improbable
impresionado,5,impresionada
implante implantar,5,implantes
implante,5,implante
imperdonable,5,imperdonable
impecable,5,impecable
iluminación,5,iluminación
hurra,5,hurra
húmedo,5,húmedo
humedad,5,humedad
huido,5,huido
hormiga,5,hormigas
honra honrar,5,honra
hongo,5,hongos
harina,5,harina
halar,5,hale
guiar,5,guiar
guerrera guerrero,5,guerrera
guay,5,guay
gorro,5,gorro
gordito,5,gordito
generosidad,5,generosidad
gemela,5,gemela
gaseosa,5,gaseosa
garage,5,garage
gala,5,gala
gabinete,5,gabinete
furgoneta,5,furgoneta
funcionamiento,5,funcionamiento
fuertemente,5,fuertemente
frontal,5,frontal
frío,5,frías
frijol,5,frijoles
fresa,5,fresas
fragmento,5,fragmentos
formidable,5,formidable
formal,5,formal
forastero,5,forastero
fogata,5,fogata
fluido fluir,5,fluido
flan,5,flan
finanza,5,finanzas
fé,5,fé
favela,5,favela
farsante,5,farsante
faraón,5,faraón
falla,5,fallas
facilidad,5,facilidad
fachar,5,faché
extracción,5,extracción
extensión,5,extensión
éxtasis,5,éxtasis
explicado,5,explicado
experimentado experimentar,5,experimentado
expectativa,5,expectativas
excursión,5,excursión
excitar,5,excita
excavación,5,excavación
etcétera,5,etcétera
estrecho,5,estrecho
estirar,5,estirar
estafa,5,estafa
establecido establecer,5,establecido
esqueleto,5,esqueleto
espuma,5,espuma
espiar,5,espiando
específicamente,5,específicamente
escombro,5,escombros
escalar,5,escalar
envidiar,5,envidio
envenenado,5,envenenado
entrañas,5,entrañas
ensayo,5,ensayos
enloquecer,5,enloqueció
encerrar,5,encerrar
empleada empleado emplear,5,empleada
emocionado,5,emocionada
eminencia,5,eminencia
embarazoso,5,embarazoso
egipcio,5,egipcios
editorial,5,editorial
drogado,5,drogada
drogadicto,5,drogadicto
dorado,5,dorada
donación,5,donación
dividido,5,dividido
distribución,5,distribución
distinguir,5,distinguir
disfrutado disfrutar,5,disfrutado
diseñar,5,diseñó
discípulo,5,discípulos
dirigido dirigir,5,dirigida
directiva,5,directiva
diputado,5,diputado
diplomático,5,diplomático
diplomática diplomático,5,diplomática
dimensión,5,dimensión
dilema,5,dilema
difunto,5,difunto
diecisiete,5,diecisiete
diarrea,5,diarrea
diariamente,5,diariamente
devuelto devolver,5,devuelto
devoción,5,devoción
detonador,5,detonador
determinación,5,determinación
detectar,5,detectar
desprecio,5,desprecio
desnudo,5,desnudas
